features,test_accuracy,final_train_loss,final_val_loss
embeddings+subjectivity_norm,0.913,0.059,0.572
embeddings+bias_norm,0.898,0.061,0.558
embeddings+sentiment_norm,0.898,0.067,0.542
embeddings+bias_norm+subjectivity_norm+framing_score,0.898,0.062,0.549
embeddings+subjectivity_norm+framing_score,0.896,0.051,0.526
embeddings+bias_norm+framing_score,0.895,0.058,0.555
embeddings+bias_norm+subjectivity_norm,0.894,0.064,0.544
embeddings+sentiment_norm+framing_score,0.893,0.059,0.552
embeddings+framing_score,0.891,0.063,0.569
full_feature_vector,0.89,0.055,0.553
embeddings+sentiment_norm+bias_norm+subjectivity_norm,0.888,0.06,0.543
embeddings+sentiment_norm+subjectivity_norm,0.888,0.068,0.56
embeddings,0.888,0.066,0.554
embeddings+sentiment_norm+bias_norm,0.887,0.06,0.545
embeddings+sentiment_norm+subjectivity_norm+framing_score,0.887,0.06,0.567
embeddings+sentiment_norm+bias_norm+subjectivity_norm+framing_score,0.887,0.065,0.541
embeddings+sentiment_norm+bias_norm+framing_score,0.882,0.069,0.537
